product,sales,region,date
pink morsel,1731.0,east,2018-02-06
pink morsel,1638.0,north,2018-02-06
pink morsel,1647.0,south,2018-02-06
pink morsel,1557.0,west,2018-02-06
pink morsel,1542.0,east,2018-02-07
pink morsel,1587.0,north,2018-02-07
pink morsel,1698.0,south,2018-02-07
pink morsel,1635.0,west,2018-02-07
pink morsel,1503.0,east,2018-02-08
pink morsel,1602.0,north,2018-02-08
pink morsel,1536.0,south,2018-02-08
pink morsel,1701.0,west,2018-02-08
pink morsel,1782.0,east,2018-02-09
pink morsel,1758.0,north,2018-02-09
pink morsel,1662.0,south,2018-02-09
pink morsel,1515.0,west,2018-02-09
pink morsel,1650.0,east,2018-02-10
pink morsel,1662.0,north,2018-02-10
pink morsel,1557.0,south,2018-02-10
pink morsel,1674.0,west,2018-02-10
pink morsel,1563.0,east,2018-02-11
pink morsel,1554.0,north,2018-02-11
pink morsel,1587.0,south,2018-02-11
pink morsel,1764.0,west,2018-02-11
pink morsel,1569.0,east,2018-02-12
pink morsel,1758.0,north,2018-02-12
pink morsel,1608.0,south,2018-02-12
pink morsel,1653.0,west,2018-02-12
pink morsel,1773.0,east,2018-02-13
pink morsel,1572.0,north,2018-02-13
pink morsel,1716.0,south,2018-02-13
pink morsel,1725.0,west,2018-02-13
pink morsel,1698.0,east,2018-02-14
pink morsel,1767.0,north,2018-02-14
pink morsel,1710.0,south,2018-02-14
pink morsel,1512.0,west,2018-02-14
pink morsel,1524.0,east,2018-02-15
pink morsel,1746.0,north,2018-02-15
pink morsel,1734.0,south,2018-02-15
pink morsel,1614.0,west,2018-02-15
pink morsel,1527.0,east,2018-02-16
pink morsel,1578.0,north,2018-02-16
pink morsel,1782.0,south,2018-02-16
pink morsel,1752.0,west,2018-02-16
pink morsel,1641.0,east,2018-02-17
pink morsel,1785.0,north,2018-02-17
pink morsel,1689.0,south,2018-02-17
pink morsel,1575.0,west,2018-02-17
pink morsel,1551.0,east,2018-02-18
pink morsel,1644.0,north,2018-02-18
pink morsel,1674.0,south,2018-02-18
pink morsel,1737.0,west,2018-02-18
pink morsel,1605.0,east,2018-02-19
pink morsel,1563.0,north,2018-02-19
pink morsel,1647.0,south,2018-02-19
pink morsel,1539.0,west,2018-02-19
pink morsel,1500.0,east,2018-02-20
pink morsel,1698.0,north,2018-02-20
pink morsel,1575.0,south,2018-02-20
pink morsel,1551.0,west,2018-02-20
pink morsel,1665.0,east,2018-02-21
pink morsel,1737.0,north,2018-02-21
pink morsel,1542.0,south,2018-02-21
pink morsel,1548.0,west,2018-02-21
pink morsel,1668.0,east,2018-02-22
pink morsel,1635.0,north,2018-02-22
pink morsel,1632.0,south,2018-02-22
pink morsel,1764.0,west,2018-02-22
pink morsel,1641.0,east,2018-02-23
pink morsel,1533.0,north,2018-02-23
pink morsel,1563.0,south,2018-02-23
pink morsel,1773.0,west,2018-02-23
pink morsel,1725.0,east,2018-02-24
pink morsel,1629.0,north,2018-02-24
pink morsel,1698.0,south,2018-02-24
pink morsel,1722.0,west,2018-02-24
pink morsel,1635.0,east,2018-02-25
pink morsel,1596.0,north,2018-02-25
pink morsel,1710.0,south,2018-02-25
pink morsel,1659.0,west,2018-02-25
pink morsel,1524.0,east,2018-02-26
pink morsel,1686.0,north,2018-02-26
pink morsel,1533.0,south,2018-02-26
pink morsel,1530.0,west,2018-02-26
pink morsel,1578.0,east,2018-02-27
pink morsel,1665.0,north,2018-02-27
pink morsel,1695.0,south,2018-02-27
pink morsel,1620.0,west,2018-02-27
pink morsel,1743.0,east,2018-02-28
pink morsel,1767.0,north,2018-02-28
pink morsel,1593.0,south,2018-02-28
pink morsel,1557.0,west,2018-02-28
pink morsel,1527.0,east,2018-03-01
pink morsel,1668.0,north,2018-03-01
pink morsel,1782.0,south,2018-03-01
pink morsel,1668.0,west,2018-03-01
pink morsel,1746.0,east,2018-03-02
pink morsel,1635.0,north,2018-03-02
pink morsel,1569.0,south,2018-03-02
pink morsel,1773.0,west,2018-03-02
pink morsel,1569.0,east,2018-03-03
pink morsel,1539.0,north,2018-03-03
pink morsel,1500.0,south,2018-03-03
pink morsel,1557.0,west,2018-03-03
pink morsel,1614.0,east,2018-03-04
pink morsel,1773.0,north,2018-03-04
pink morsel,1644.0,south,2018-03-04
pink morsel,1674.0,west,2018-03-04
pink morsel,1557.0,east,2018-03-05
pink morsel,1533.0,north,2018-03-05
pink morsel,1653.0,south,2018-03-05
pink morsel,1746.0,west,2018-03-05
pink morsel,1659.0,east,2018-03-06
pink morsel,1719.0,north,2018-03-06
pink morsel,1719.0,south,2018-03-06
pink morsel,1800.0,west,2018-03-06
pink morsel,1608.0,east,2018-03-07
